time,open,close,high,low,volume
2018-05-10 14:25:00,2.79,2.5001,2.98,2.5001,1526.76724198
2018-05-10 14:45:00,2.55,2.55,2.55,2.55,10.0
2018-05-10 15:00:00,2.53,2.53,2.53,2.53,206.44846004
2018-05-10 15:10:00,2.53,2.53,2.53,2.53,22.51461407
2018-05-10 15:15:00,2.5,2.49,2.5,2.49,206.24201158
2018-05-10 15:20:00,2.4901,2.53,2.53,2.4901,174.0
2018-05-10 15:25:00,2.4902,2.4902,2.4902,2.4902,2700.0
2018-05-10 15:30:00,2.4902,2.4902,2.4902,2.4902,186.0
2018-05-10 15:45:00,2.53,2.6425,2.6425,2.53,400.0
2018-05-10 15:50:00,2.65,2.6698,2.6698,2.65,74.19209946000001
2018-05-10 15:55:00,2.6698,2.6698,2.6698,2.6698,12.0
2018-05-10 16:00:00,2.65,2.65,2.65,2.65,77.50790054
2018-05-10 16:20:00,2.533,2.5267,2.533,2.5267,40.0
2018-05-10 16:40:00,2.6203,2.6212,2.6212,2.6203,1.0
2018-05-10 17:10:00,2.55,2.55,2.55,2.55,33.0
2018-05-10 17:15:00,2.499,2.475,2.499,2.475,240.0
2018-05-10 18:25:00,2.4411,2.4411,2.4411,2.4411,50.0
2018-05-10 18:40:00,2.4391,2.4391,2.4391,2.4391,3.998999
2018-05-10 18:50:00,2.4391,2.4391,2.4391,2.4391,100.0
2018-05-10 18:55:00,2.381,2.38,2.381,2.38,98.92530188
2018-05-10 19:00:00,2.38,2.38,2.38,2.38,100.0
2018-05-10 19:55:00,2.38,2.42,2.42,2.38,3.0
2018-05-10 20:20:00,2.4027,2.4027,2.4027,2.4027,105.0
2018-05-10 20:30:00,2.4027,2.4021,2.4027,2.4021,57.76879256
2018-05-10 20:50:00,2.3963,2.3963,2.3963,2.3963,150.0
2018-05-10 21:35:00,2.3268,2.3268,2.3268,2.3268,155.16851461
2018-05-10 21:40:00,2.3923,2.3923,2.3923,2.3923,5.0
2018-05-10 21:50:00,2.3913,2.3913,2.3913,2.3913,30.0
2018-05-10 23:10:00,2.3005,2.3,2.3005,2.3,200.0023046
2018-05-10 23:30:00,2.2515,2.2515,2.2515,2.2515,0.0012024
2018-05-10 23:35:00,2.2189,2.2189,2.2189,2.2189,0.005583
2018-05-11 01:45:00,2.2189,2.1785,2.2189,2.1785,104.79
2018-05-11 02:25:00,2.27,2.27,2.27,2.27,669.99
2018-05-11 02:40:00,2.307,2.3076,2.3076,2.307,101.0
2018-05-11 03:05:00,2.27,2.27,2.27,2.27,0.01
2018-05-11 06:40:00,2.202,2.1784,2.202,2.1784,661.0
2018-05-11 07:00:00,2.1785,2.1784,2.1785,2.1784,100.0023046
2018-05-11 07:10:00,2.177,2.177,2.177,2.177,62.0
2018-05-11 07:25:00,2.1004,2.1004,2.1004,2.1004,4.995
2018-05-11 07:30:00,2.1,2.1,2.1,2.1,50.0
2018-05-11 07:50:00,2.0002,2.0002,2.0002,2.0002,0.0014028
2018-05-11 07:55:00,2.0002,2.0002,2.0003,2.0002,1065.7988759999998
2018-05-11 08:05:00,2.1762,2.2999,2.2999,2.1762,2412.4620898900002
2018-05-11 08:15:00,2.2,2.2,2.2,2.2,70.0
2018-05-11 08:20:00,2.1942,2.1942,2.1942,2.1942,1000.0
2018-05-11 08:40:00,2.1091,2.1091,2.1091,2.1091,0.001225
2018-05-11 09:20:00,2.101,2.101,2.101,2.101,666.01
2018-05-11 09:35:00,2.1,2.0468,2.1,2.0468,1977.0
2018-05-11 12:00:00,2.05,2.0474,2.05,2.0474,999.532
2018-05-11 12:05:00,2.0476,2.0475,2.0476,2.0475,551.20020021
2018-05-11 12:10:00,2.0474,2.02,2.0474,2.02,241.0
2018-05-11 13:40:00,2.1955,2.1955,2.1955,2.1955,1.0
2018-05-11 14:15:00,2.0204,2.0204,2.0204,2.0204,0.001
2018-05-11 14:50:00,2.0217,2.0204,2.0217,2.0204,1013.2822668
2018-05-11 15:35:00,2.05,2.05,2.05,2.05,392.46083167
2018-05-11 16:50:00,2.1306,2.1306,2.1306,2.1306,5.0
2018-05-11 18:10:00,2.1333,2.1333,2.1333,2.1333,36.213396
2018-05-11 21:15:00,2.0719,2.0719,2.0719,2.0719,1.0
2018-05-11 22:10:00,2.072,2.072,2.072,2.072,499.0
2018-05-12 05:15:00,2.03,1.998,2.03,1.998,233.755
2018-05-12 05:35:00,1.9982,1.998,1.9982,1.998,8.7452369
2018-05-12 05:40:00,1.9129,1.9,1.9129,1.9,392.06837084
2018-05-12 06:00:00,1.9005,1.8726,1.9005,1.8726,10.47
2018-05-12 06:20:00,1.8193,1.8,1.8193,1.8,700.0
2018-05-12 09:05:00,1.9591,1.9591,1.9591,1.9591,250.0
2018-05-12 09:40:00,1.9444,1.9444,1.9444,1.9444,20.0
2018-05-12 09:50:00,2.0691,2.0691,2.0691,2.0691,15.0
2018-05-12 11:05:00,2.1008,2.1008,2.1008,2.1008,20.0
2018-05-12 15:15:00,2.0358,2.02,2.0358,2.02,14.4532888
2018-05-12 15:45:00,2.0175,2.0175,2.0175,2.0175,49.96
2018-05-12 16:05:00,2.0187,2.0187,2.0187,2.0187,124.875
2018-05-12 16:40:00,2.0188,2.03,2.03,2.0188,27.064223079999998
2018-05-12 18:30:00,2.0007,2.0007,2.0007,2.0007,99.880032
2018-05-12 20:50:00,2.1011,2.1011,2.1011,2.1011,5.7777948
2018-05-12 22:10:00,2.1011,2.1289,2.1289,2.1011,6.0
2018-05-12 23:45:00,2.1289,2.1289,2.1289,2.1289,0.6667052
2018-05-13 00:05:00,2.15,2.15,2.15,2.15,5.0
